source,target,verb,name,doc_id
129,577,establish,DEVELOP,2070
130,577,establish,DEVELOP,2070
131,578,formulate,DEVELOP,2081
132,134,mandate,OBLIGATE,2081
132,133,oversee,REGULATE,2081
133,134,mandate,OBLIGATE,2081
134,133,oversee,REGULATE,2081
135,579,develop,DEVELOP,2081
135,137,instruct,OBLIGATE,2081
136,579,develop,DEVELOP,2081
136,135,instruct,OBLIGATE,2081
136,137,instruct,OBLIGATE,2081
137,579,develop,DEVELOP,2081
137,135,instruct,OBLIGATE,2081
138,580,require,OBLIGATE,2066
139,261,require,OBLIGATE,1032
62,261,require,OBLIGATE,1032
140,581,establish,DEVELOP,2261
2,552,submit,REPORT,2257
141,582,establish,DEVELOP,2257
142,583,advance,SUPPORT,1396
22,584,safeguard,REGULATE,1801
143,381,share,COORDINATE,1801
144,381,lead,COORDINATE,1801
145,587,allow,AUTHORIZE,1830
146,588,describe,REPORT,2040
147,577,establish,DEVELOP,1417
147,589,study,EVALUATE,1417
148,590,test,EVALUATE,1753
8,148,require,OBLIGATE,1753
8,590,test,EVALUATE,1753
149,591,develop,DEVELOP,1741
9,592,support,SUPPORT,1737
8,593,coordinate,COORDINATE,1744
8,594,support,SUPPORT,1752
148,596,assess,EVALUATE,1756
3,597,submit,REPORT,1738
16,600,allow,AUTHORIZE,1782
151,601,safeguard,REGULATE,1803
152,601,safeguard,REGULATE,1803
72,602,involve,COORDINATE,1805
72,603,require,OBLIGATE,1805
140,581,establish,DEVELOP,2098
153,604,oversee,REGULATE,2098
154,22,oversee,REGULATE,2019
155,22,govern,REGULATE,2019
3,4,instruct,OBLIGATE,579
156,605,require,OBLIGATE,579
157,605,require,OBLIGATE,579
13,190,establish,DEVELOP,511
158,607,establish,DEVELOP,1099
159,608,create,DEVELOP,2092
160,60,prohibit,RESTRICT,374
160,22,use,USE,374
60,22,use,USE,374
161,610,use,USE,481
162,9,direct,OBLIGATE,435
162,611,improve,DEVELOP,435
9,611,improve,DEVELOP,435
13,9,direct,OBLIGATE,435
13,611,improve,DEVELOP,435
163,8,require,OBLIGATE,523
36,8,require,OBLIGATE,523
